Sl.no,ObservationDate,District,State/Region,Last update,Confirmed,Recovered,Deaths
1422,28/4/2020,Tiruchirapalli,Tamil Nadu,28/4/2020 10:45,49,24,0
1423,13/4/2020,Vellore,Tamil Nadu,13/4/2020 10:45,22,10,0
1424,12/4/2020,Villupuram,Tamil Nadu,12/4/2020 10:45,35,17,3
1425,7/4/2020,Virudhunagar,Tamil Nadu,7/4/2020 10:45,19,10,5
1426,2/4/2020,Udagamandalam,Tamil Nadu,2/4/2020 10:45,9,5,0
1427,10/5/2020,Ariyalur,Tamil Nadu,10/5/2020 10:45,4,2,1
1428,10/5/2020,Chengalpattu,Tamil Nadu,10/5/2020 10:45,53,26,5
1429,9/5/2020,Cuddalore,Tamil Nadu,9/5/2020 10:45,26,13,0
1430,8/5/2020,Dindigul,Tamil Nadu,8/5/2020 10:45,76,38,0
1431,10/5/2020,Chennai,Tamil Nadu,10/5/2020 10:45,303,75,20
1432,8/5/2020,Coimbatore,Tamil Nadu,8/5/2020 10:45,133,66,10
1433,10/5/2020,Dindugal,Tamil Nadu,10/5/2020 10:45,43,21,0
1434,9/5/2020,Erode,Tamil Nadu,9/5/2020 10:45,70,35,0
1435,9/5/2020,Kancheepuram,Tamil Nadu,9/5/2020 10:45,9,3,0
1436,6/5/2020,Kalllakurichi,Tamil Nadu,6/5/2020 10:45,3,0,0
1437,8/5/2020,Kanyakumari,Tamil Nadu,8/5/2020 10:45,5,0,0
1438,6/5/2020,Karur,Tamil Nadu,6/5/2020 10:45,42,21,0
1439,6/5/2020,Madurai,Tamil Nadu,6/5/2020 10:45,46,23,0
1440,6/5/2020,Nagapattinam,Tamil Nadu,6/5/2020 10:45,44,22,5
1441,6/5/2020,Nagerkoil,Tamil Nadu,6/5/2020 10:45,16,8,5
1442,6/5/2020,Namakkal,Tamil Nadu,6/5/2020 10:45,50,25,0
1443,6/5/2020,Perambalur,Tamil Nadu,6/5/2020 10:45,5,0,5
1444,9/5/2020,Pudukottai,Tamil Nadu,9/5/2020 10:45,1,0,0
1445,9/5/2020,Ramanathapuram,Tamil Nadu,9/5/2020 10:45,11,3,0
1446,9/5/2020,Sivagangai,Tamil Nadu,9/5/2020 10:45,12,3,5
1447,9/5/2020,Ranipet,Tamil Nadu,9/5/2020 10:45,39,19,5
1448,2/5/2020,Salem,Tamil Nadu,2/5/2020 10:45,24,12,0
1449,2/5/2020,Thanjavur,Tamil Nadu,2/5/2020 10:45,46,23,5
1450,2/5/2020,Tenkasi,Tamil Nadu,2/5/2020 10:45,26,13,0
1451,2/5/2020,Theni,Tamil Nadu,2/5/2020 10:45,43,21,5
1452,30/4/2020,Tiruvannamalai,Tamil Nadu,30/4/2020 10:45,12,5,5
1453,30/4/2020,Thiruvallur,Tamil Nadu,30/4/2020 10:45,48,24,5
1454,30/4/2020,Thiruvarur,Tamil Nadu,30/4/2020 10:45,27,12,0
1455,29/4/2020,Thoothukudi,Tamil Nadu,29/4/2020 10:45,27,12,5
1456,29/4/2020,Tirunelveli,Tamil Nadu,29/4/2020 10:45,62,30,4
1457,29/4/2020,Tirupattur,Tamil Nadu,29/4/2020 10:45,17,7,0
1458,29/4/2020,Tiruppur,Tamil Nadu,29/4/2020 10:45,109,50,5
1459,29/4/2020,Tiruchirapalli,Tamil Nadu,29/4/2020 10:45,50,24,0
1460,14/4/2020,Vellore,Tamil Nadu,14/4/2020 10:45,22,10,0
1461,13/4/2020,Villupuram,Tamil Nadu,13/4/2020 10:45,36,18,3
1462,8/4/2020,Virudhunagar,Tamil Nadu,8/4/2020 10:45,19,10,5
1463,3/4/2020,Udagamandalam,Tamil Nadu,3/4/2020 10:45,9,5,0
