Sl.no,ObservationDate,District,State/Region,Last update,Confirmed,Recovered,Deaths
518,5/5/2020,Kadappa,Andhra Pradesh,5/5/2020 10:45,30,6,7
519,1/5/2020,Krishna,Andhra Pradesh,1/5/2020 10:45,76,68,2
520,5/5/2020,Nellore,Andhra Pradesh,5/5/2020 10:45,67,0,1
521,6/5/2020,Prakasam,Andhra Pradesh,6/5/2020 10:45,43,7,5
522,3/5/2020,Kurnool,Andhra Pradesh,3/5/2020 10:45,156,33,6
523,5/5/2020,VIsakhapatnam,Andhra Pradesh,5/5/2020 10:45,20,0,6
524,4/5/2020,West Godavari,Andhra Pradesh,4/5/2020 10:45,35,20,2
525,6/5/2020,Anantapur,Andhra Pradesh,6/5/2020 10:45,24,40,3
526,13/4/2020,Chitoor,Andhra Pradesh,13/4/2020 10:45,26,0,7
527,29/4/2020,East Godavar,Andhra Pradesh,29/4/2020 10:45,15,14,10
528,6/5/2020,Guntur,Andhra Pradesh,6/5/2020 10:45,120,35,6
529,6/5/2020,Kadappa,Andhra Pradesh,6/5/2020 10:45,32,6,7
530,6/5/2020,Krishna,Andhra Pradesh,6/5/2020 10:45,76,71,2
531,7/5/2020,Nellore,Andhra Pradesh,7/5/2020 10:45,67,0,1
532,6/5/2020,Prakasam,Andhra Pradesh,6/5/2020 10:45,43,7,5
533,3/5/2020,Kurnool,Andhra Pradesh,3/5/2020 10:45,157,33,6
534,5/5/2020,VIsakhapatnam,Andhra Pradesh,5/5/2020 10:45,20,0,6
535,4/5/2020,West Godavari,Andhra Pradesh,4/5/2020 10:45,35,20,2
536,8/5/2020,Anantapur,Andhra Pradesh,8/5/2020 10:45,26,40,5
537,13/4/2020,Chitoor,Andhra Pradesh,13/4/2020 10:45,27,0,7
538,29/4/2020,East Godavar,Andhra Pradesh,29/4/2020 10:45,15,14,10
539,8/5/2020,Guntur,Andhra Pradesh,8/5/2020 10:45,124,37,6
540,6/5/2020,Kadappa,Andhra Pradesh,6/5/2020 10:45,33,8,7
541,7/5/2020,Krishna,Andhra Pradesh,7/5/2020 10:45,76,71,2
542,7/5/2020,Nellore,Andhra Pradesh,7/5/2020 10:45,67,0,1
543,6/5/2020,Prakasam,Andhra Pradesh,6/5/2020 10:45,43,7,5
544,3/5/2020,Kurnool,Andhra Pradesh,3/5/2020 10:45,158,33,6
545,5/5/2020,VIsakhapatnam,Andhra Pradesh,5/5/2020 10:45,20,0,6
546,8/5/2020,West Godavari,Andhra Pradesh,8/5/2020 10:45,35,20,2
547,8/5/2020,Anantapur,Andhra Pradesh,8/5/2020 10:45,28,40,5
548,13/4/2020,Chitoor,Andhra Pradesh,13/4/2020 10:45,27,0,9
549,29/4/2020,East Godavar,Andhra Pradesh,29/4/2020 10:45,20,15,10
550,8/5/2020,Guntur,Andhra Pradesh,8/5/2020 10:45,127,37,6
551,6/5/2020,Kadappa,Andhra Pradesh,6/5/2020 10:45,33,8,7
552,7/5/2020,Krishna,Andhra Pradesh,7/5/2020 10:45,76,71,2
553,7/5/2020,Nellore,Andhra Pradesh,7/5/2020 10:45,67,0,1
554,8/5/2020,Prakasam,Andhra Pradesh,8/5/2020 10:45,43,7,5
555,9/5/2020,Kurnool,Andhra Pradesh,9/5/2020 10:45,158,33,7
556,9/5/2020,VIsakhapatnam,Andhra Pradesh,9/5/2020 10:45,20,0,6
557,3/5/2020,West Godavari,Andhra Pradesh,3/5/2020 10:45,35,22,2
558,8/5/2020,Anantapur,Andhra Pradesh,8/5/2020 10:45,28,40,5
559,9/5/2020,Chitoor,Andhra Pradesh,9/5/2020 10:45,28,0,9
560,13/4/2020,East Godavar,Andhra Pradesh,13/4/2020 10:45,20,16,10
561,29/4/2020,Guntur,Andhra Pradesh,29/4/2020 10:45,127,37,6
562,9/5/2020,Kadappa,Andhra Pradesh,9/5/2020 10:45,37,8,7
563,9/5/2020,Krishna,Andhra Pradesh,9/5/2020 10:45,76,71,2
564,10/5/2020,Nellore,Andhra Pradesh,10/5/2020 10:45,67,0,1
565,7/5/2020,Prakasam,Andhra Pradesh,7/5/2020 10:45,43,7,5
566,9/5/2020,Kurnool,Andhra Pradesh,9/5/2020 10:45,158,33,7
567,8/5/2020,VIsakhapatnam,Andhra Pradesh,8/5/2020 10:45,20,0,6
568,9/5/2020,West Godavari,Andhra Pradesh,9/5/2020 10:45,35,22,2
569,11/5/2020,Anantapur,Andhra Pradesh,11/5/2020 10:45,29,42,5
570,13/4/2020,Chitoor,Andhra Pradesh,13/4/2020 10:45,28,0,9
571,29/4/2020,East Godavar,Andhra Pradesh,29/4/2020 10:45,24,16,11
572,9/5/2020,Guntur,Andhra Pradesh,9/5/2020 10:45,128,38,6
573,10/5/2020,Kadappa,Andhra Pradesh,10/5/2020 10:45,37,8,7
574,10/5/2020,Krishna,Andhra Pradesh,10/5/2020 10:45,76,71,2
575,10/5/2020,Nellore,Andhra Pradesh,10/5/2020 10:45,67,0,1
576,9/5/2020,Prakasam,Andhra Pradesh,9/5/2020 10:45,44,7,6
577,11/5/2020,Kurnool,Andhra Pradesh,11/5/2020 10:45,158,33,7
578,10/5/2020,VIsakhapatnam,Andhra Pradesh,10/5/2020 10:45,20,0,6
579,9/5/2020,West Godavari,Andhra Pradesh,9/5/2020 10:45,35,22,2
580,24/4/2020,Alappuzha,Kerala,24/4/2020 10:45,1,0,0
581,24/4/2020,Cannanore(Kannur),Kerala,24/4/2020 10:45,66,1,0
582,23/4/2020,Ernakulam,Kerala,23/4/2020 10:45,13,0,0
583,22/4/2020,Idukki,Kerala,22/4/2020 10:45,7,0,0
584,24/4/2020,Kasaragode,Kerala,24/4/2020 10:45,154,0,0
585,22/4/2020,Kottayam,Kerala,22/4/2020 10:45,2,0,0
586,24/4/2020,Kozhicode,Kerala,24/4/2020 10:45,10,0,0
587,23/4/2020,Palakkad,Kerala,23/4/2020 10:45,6,0,0
588,23/4/2020,Pathanamthitta,Kerala,23/4/2020 10:45,14,0,0
589,20/4/2020,Wyanad,Kerala,23/4/2020 10:45,3,0,0
590,22/4/2020,Thiruvananthapuram,Kerala,22/4/2020 10:45,12,0,0
591,20/4/2020,Mallapuram,Kerala,20/4/2020 10:45,9,0,0
592,20/4/2020,Thrissur,Kerala,20/4/2020 10:46,8,0,0
593,20/4/2020,Kollam,Kerala,20/4/2020 10:47,7,0,0
594,20/4/2020,Malappuram,Kerala,20/4/2020 10:48,9,0,0
595,25/4/2020,Alappuzha,Kerala,25/4/2020 10:45,3,0,0
596,25/4/2020,Cannanore(Kannur),Kerala,25/4/2020 10:45,71,1,0
597,24/4/2020,Ernakulam,Kerala,24/4/2020 10:45,15,0,0
598,23/4/2020,Idukki,Kerala,23/4/2020 10:45,7,0,0
599,25/4/2020,Kasaragode,Kerala,25/4/2020 10:45,154,0,0
600,23/4/2020,Kottayam,Kerala,23/4/2020 10:45,2,0,0
601,25/4/2020,Kozhicode,Kerala,25/4/2020 10:45,10,0,0
602,24/4/2020,Palakkad,Kerala,24/4/2020 10:45,6,0,0
603,24/4/2020,Pathanamthitta,Kerala,24/4/2020 10:45,14,0,0
604,21/4/2020,Wyanad,Kerala,24/4/2020 10:45,3,0,0
605,23/4/2020,Thiruvananthapuram,Kerala,23/4/2020 10:45,12,0,0
606,21/4/2020,Mallapuram,Kerala,21/4/2020 10:45,9,0,0
607,21/4/2020,Thrissur,Kerala,21/4/2020 10:46,8,0,0
608,21/4/2020,Kollam,Kerala,21/4/2020 10:47,7,0,0
609,21/4/2020,Malappuram,Kerala,21/4/2020 10:48,10,0,0
610,26/4/2020,Alappuzha,Kerala,26/4/2020 10:45,3,0,0
611,26/4/2020,Cannanore(Kannur),Kerala,26/4/2020 10:45,76,1,0
612,25/4/2020,Ernakulam,Kerala,25/4/2020 10:45,15,0,0
613,24/4/2020,Idukki,Kerala,24/4/2020 10:45,7,0,0
614,26/4/2020,Kasaragode,Kerala,26/4/2020 10:45,154,0,0
615,24/4/2020,Kottayam,Kerala,24/4/2020 10:45,2,0,0
616,26/4/2020,Kozhicode,Kerala,26/4/2020 10:45,10,0,0
617,25/4/2020,Palakkad,Kerala,25/4/2020 10:45,6,0,0
618,25/4/2020,Pathanamthitta,Kerala,25/4/2020 10:45,14,0,0
619,22/4/2020,Wyanad,Kerala,22/4/2020 10:45,3,0,0
620,24/4/2020,Thiruvananthapuram,Kerala,24/4/2020 10:45,12,0,0
621,22/4/2020,Mallapuram,Kerala,22/4/2020 10:45,9,0,0
622,22/4/2020,Thrissur,Kerala,22/4/2020 10:45,8,0,0
623,22/4/2020,Kollam,Kerala,22/4/2020 10:45,7,0,0
624,22/4/2020,Malappuram,Kerala,22/4/2020 10:45,10,0,0
625,27/4/2020,Alappuzha,Kerala,27/4/2020 10:45,3,1,0
626,27/4/2020,Cannanore(Kannur),Kerala,27/4/2020 10:45,78,12,0
627,26/4/2020,Ernakulam,Kerala,26/4/2020 10:45,15,0,0
628,25/4/2020,Idukki,Kerala,25/4/2020 10:45,7,0,0
629,27/4/2020,Kasaragode,Kerala,27/4/2020 10:45,157,12,0
630,25/4/2020,Kottayam,Kerala,25/4/2020 10:45,3,0,0
631,27/4/2020,Kozhicode,Kerala,27/4/2020 10:45,14,0,0
632,26/4/2020,Palakkad,Kerala,26/4/2020 10:45,6,0,0
633,26/4/2020,Pathanamthitta,Kerala,26/4/2020 10:45,14,0,0
634,23/4/2020,Wyanad,Kerala,23/4/2020 10:45,3,0,0
635,25/4/2020,Thiruvananthapuram,Kerala,25/4/2020 10:45,12,0,0
636,23/4/2020,Mallapuram,Kerala,23/4/2020 10:45,9,0,0
637,23/4/2020,Thrissur,Kerala,23/4/2020 10:45,8,0,0
638,23/4/2020,Kollam,Kerala,23/4/2020 10:45,7,0,0
639,23/4/2020,Malappuram,Kerala,23/4/2020 10:45,10,0,0
640,28/4/2020,Alappuzha,Kerala,28/4/2020 10:45,3,1,0
641,28/4/2020,Cannanore(Kannur),Kerala,28/4/2020 10:45,80,25,0
642,27/4/2020,Ernakulam,Kerala,27/4/2020 10:45,18,5,0
643,26/4/2020,Idukki,Kerala,26/4/2020 10:45,7,0,0
644,28/4/2020,Kasaragode,Kerala,28/4/2020 10:45,157,25,0
645,26/4/2020,Kottayam,Kerala,26/4/2020 10:45,3,0,0
646,28/4/2020,Kozhicode,Kerala,28/4/2020 10:45,14,0,0
647,27/4/2020,Palakkad,Kerala,27/4/2020 10:45,6,0,0
648,27/4/2020,Pathanamthitta,Kerala,27/4/2020 10:45,14,0,0
649,24/4/2020,Wyanad,Kerala,24/4/2020 10:45,3,0,0
650,26/4/2020,Thiruvananthapuram,Kerala,26/4/2020 10:45,12,0,0
651,24/4/2020,Mallapuram,Kerala,24/4/2020 10:45,9,5,0
652,24/4/2020,Thrissur,Kerala,24/4/2020 10:45,8,0,0
653,24/4/2020,Kollam,Kerala,24/4/2020 10:45,7,0,0
654,24/4/2020,Malappuram,Kerala,24/4/2020 10:45,10,0,0
655,29/4/2020,Alappuzha,Kerala,29/4/2020 10:45,3,1,0
656,29/4/2020,Cannanore(Kannur),Kerala,29/4/2020 10:45,80,36,0
657,28/4/2020,Ernakulam,Kerala,28/4/2020 10:45,18,9,0
658,27/4/2020,Idukki,Kerala,27/4/2020 10:45,9,0,0
659,29/4/2020,Kasaragode,Kerala,29/4/2020 10:45,160,26,0
660,27/4/2020,Kottayam,Kerala,27/4/2020 10:45,3,0,0
661,29/4/2020,Kozhicode,Kerala,29/4/2020 10:45,14,5,0
662,28/4/2020,Palakkad,Kerala,28/4/2020 10:45,6,2,0
663,28/4/2020,Pathanamthitta,Kerala,28/4/2020 10:45,14,0,0
664,25/4/2020,Wyanad,Kerala,25/4/2020 10:45,3,0,0
665,27/4/2020,Thiruvananthapuram,Kerala,27/4/2020 10:45,12,6,0
666,25/4/2020,Mallapuram,Kerala,25/4/2020 10:45,9,5,0
667,25/4/2020,Thrissur,Kerala,25/4/2020 10:45,8,5,0
668,25/4/2020,Kollam,Kerala,25/4/2020 10:45,7,0,0
669,25/4/2020,Malappuram,Kerala,25/4/2020 10:45,10,5,0
670,30/4/2020,Alappuzha,Kerala,30/4/2020 10:45,3,1,0
671,30/4/2020,Cannanore(Kannur),Kerala,30/4/2020 10:45,82,37,0
672,29/4/2020,Ernakulam,Kerala,29/4/2020 10:45,20,10,0
673,28/4/2020,Idukki,Kerala,28/4/2020 10:45,9,0,0
674,30/4/2020,Kasaragode,Kerala,30/4/2020 10:45,162,35,0
675,28/4/2020,Kottayam,Kerala,28/4/2020 10:45,3,0,0
676,30/4/2020,Kozhicode,Kerala,30/4/2020 10:45,14,6,0
677,29/4/2020,Palakkad,Kerala,29/4/2020 10:45,6,0,0
678,29/4/2020,Pathanamthitta,Kerala,29/4/2020 10:45,14,3,0
679,26/4/2020,Wyanad,Kerala,26/4/2020 10:45,3,0,0
680,28/4/2020,Thiruvananthapuram,Kerala,28/4/2020 10:45,12,6,0
681,26/4/2020,Mallapuram,Kerala,26/4/2020 10:45,9,5,0
682,26/4/2020,Thrissur,Kerala,26/4/2020 10:45,8,6,0
683,26/4/2020,Kollam,Kerala,26/4/2020 10:45,7,3,0
684,26/4/2020,Malappuram,Kerala,26/4/2020 10:45,10,6,0
685,1/5/2020,Alappuzha,Kerala,1/5/2020 10:45,3,3,0
686,1/5/2020,Cannanore(Kannur),Kerala,1/5/2020 10:45,82,38,0
687,30/4/2020,Ernakulam,Kerala,30/4/2020 10:45,20,10,0
688,29/4/2020,Idukki,Kerala,29/4/2020 10:45,9,0,0
689,1/5/2020,Kasaragode,Kerala,1/5/2020 10:45,162,39,0
690,29/4/2020,Kottayam,Kerala,29/4/2020 10:45,3,0,0
691,1/5/2020,Kozhicode,Kerala,1/5/2020 10:45,15,7,0
692,30/4/2020,Palakkad,Kerala,30/4/2020 10:45,6,0,0
693,30/4/2020,Pathanamthitta,Kerala,30/4/2020 10:45,14,3,0
694,27/4/2020,Wyanad,Kerala,27/4/2020 10:45,3,0,0
695,29/4/2020,Thiruvananthapuram,Kerala,29/4/2020 10:45,12,6,0
696,27/4/2020,Mallapuram,Kerala,27/4/2020 10:45,9,5,0
697,27/4/2020,Thrissur,Kerala,27/4/2020 10:45,8,7,0
698,27/4/2020,Kollam,Kerala,27/4/2020 10:45,8,3,0
699,27/4/2020,Malappuram,Kerala,27/4/2020 10:45,15,7,0
700,2/5/2020,Alappuzha,Kerala,2/5/2020 10:45,3,3,0
701,2/5/2020,Cannanore(Kannur),Kerala,2/5/2020 10:45,86,45,0
702,1/5/2020,Ernakulam,Kerala,1/5/2020 10:45,21,10,0
703,30/4/2020,Idukki,Kerala,30/4/2020 10:45,9,0,0
704,2/5/2020,Kasaragode,Kerala,2/5/2020 10:45,162,40,0
705,30/4/2020,Kottayam,Kerala,30/4/2020 10:45,3,0,0
706,2/5/2020,Kozhicode,Kerala,2/5/2020 10:45,15,7,0
707,1/5/2020,Palakkad,Kerala,1/5/2020 10:45,6,0,0
708,1/5/2020,Pathanamthitta,Kerala,1/5/2020 10:45,14,3,0
709,28/4/2020,Wyanad,Kerala,28/4/2020 10:45,3,0,0
710,30/4/2020,Thiruvananthapuram,Kerala,30/4/2020 10:45,12,7,0
711,28/4/2020,Mallapuram,Kerala,28/4/2020 10:45,9,6,0
712,28/4/2020,Thrissur,Kerala,28/4/2020 10:45,8,7,0
713,28/4/2020,Kollam,Kerala,28/4/2020 10:45,8,3,0
714,28/4/2020,Malappuram,Kerala,28/4/2020 10:45,15,7,0
715,3/5/2020,Alappuzha,Kerala,3/5/2020 10:45,4,3,0
716,3/5/2020,Cannanore(Kannur),Kerala,3/5/2020 10:45,86,46,0
717,2/5/2020,Ernakulam,Kerala,2/5/2020 10:45,21,10,0
718,1/5/2020,Idukki,Kerala,1/5/2020 10:45,9,2,0
719,3/5/2020,Kasaragode,Kerala,3/5/2020 10:45,162,41,1
720,1/5/2020,Kottayam,Kerala,1/5/2020 10:45,3,0,0
721,3/5/2020,Kozhicode,Kerala,3/5/2020 10:45,15,7,0
722,2/5/2020,Palakkad,Kerala,2/5/2020 10:45,6,1,0
723,2/5/2020,Pathanamthitta,Kerala,2/5/2020 10:45,16,3,0
724,29/4/2020,Wyanad,Kerala,29/4/2020 10:45,3,0,0
725,1/5/2020,Thiruvananthapuram,Kerala,1/5/2020 10:45,13,7,0
726,29/4/2020,Mallapuram,Kerala,29/4/2020 10:45,12,6,0
727,29/4/2020,Thrissur,Kerala,29/4/2020 10:45,11,7,0
728,29/4/2020,Kollam,Kerala,29/4/2020 10:45,8,3,0
729,29/4/2020,Malappuram,Kerala,29/4/2020 10:45,15,7,0
730,4/5/2020,Alappuzha,Kerala,4/5/2020 10:45,4,3,0
731,4/5/2020,Cannanore(Kannur),Kerala,4/5/2020 10:45,86,47,1
732,3/5/2020,Ernakulam,Kerala,3/5/2020 10:45,21,10,0
733,2/5/2020,Idukki,Kerala,2/5/2020 10:45,9,2,0
734,4/5/2020,Kasaragode,Kerala,4/5/2020 10:45,162,48,1
735,2/5/2020,Kottayam,Kerala,2/5/2020 10:45,3,0,0
736,4/5/2020,Kozhicode,Kerala,4/5/2020 10:45,18,7,0
737,3/5/2020,Palakkad,Kerala,3/5/2020 10:45,6,1,0
738,3/5/2020,Pathanamthitta,Kerala,3/5/2020 10:45,16,3,0
739,30/4/2020,Wyanad,Kerala,30/4/2020 10:45,3,1,0
740,2/5/2020,Thiruvananthapuram,Kerala,2/5/2020 10:45,13,7,0
741,30/4/2020,Mallapuram,Kerala,30/4/2020 10:45,13,6,0
742,30/4/2020,Thrissur,Kerala,30/4/2020 10:45,11,7,0
743,30/4/2020,Kollam,Kerala,30/4/2020 10:45,8,3,0
744,30/4/2020,Malappuram,Kerala,30/4/2020 10:45,15,7,0
745,5/5/2020,Alappuzha,Kerala,5/5/2020 10:45,4,3,0
746,5/5/2020,Cannanore(Kannur),Kerala,5/5/2020 10:45,86,48,1
747,4/5/2020,Ernakulam,Kerala,4/5/2020 10:45,21,10,0
748,3/5/2020,Idukki,Kerala,3/5/2020 10:45,9,2,0
749,5/5/2020,Kasaragode,Kerala,5/5/2020 10:45,162,59,1
750,3/5/2020,Kottayam,Kerala,3/5/2020 10:45,3,0,0
751,5/5/2020,Kozhicode,Kerala,5/5/2020 10:45,18,8,0
752,4/5/2020,Palakkad,Kerala,4/5/2020 10:45,6,1,0
753,4/5/2020,Pathanamthitta,Kerala,4/5/2020 10:45,16,3,0
754,1/5/2020,Wyanad,Kerala,1/5/2020 10:45,3,1,0
755,3/5/2020,Thiruvananthapuram,Kerala,3/5/2020 10:45,13,8,0
756,1/5/2020,Mallapuram,Kerala,1/5/2020 10:45,15,6,0
757,1/5/2020,Thrissur,Kerala,1/5/2020 10:45,11,8,0
758,1/5/2020,Kollam,Kerala,1/5/2020 10:45,8,3,0
759,1/5/2020,Malappuram,Kerala,1/5/2020 10:45,15,8,0
760,6/5/2020,Alappuzha,Kerala,6/5/2020 10:45,4,4,0
761,6/5/2020,Cannanore(Kannur),Kerala,6/5/2020 10:45,86,49,1
762,5/5/2020,Ernakulam,Kerala,5/5/2020 10:45,21,11,0
763,4/5/2020,Idukki,Kerala,4/5/2020 10:45,9,5,0
764,6/5/2020,Kasaragode,Kerala,6/5/2020 10:45,167,68,1
765,4/5/2020,Kottayam,Kerala,4/5/2020 10:45,3,0,0
766,6/5/2020,Kozhicode,Kerala,6/5/2020 10:45,18,8,0
767,5/5/2020,Palakkad,Kerala,5/5/2020 10:45,6,1,0
768,5/5/2020,Pathanamthitta,Kerala,5/5/2020 10:45,16,3,0
769,2/5/2020,Wyanad,Kerala,2/5/2020 10:45,3,1,0
770,4/5/2020,Thiruvananthapuram,Kerala,4/5/2020 10:45,13,9,0
771,2/5/2020,Mallapuram,Kerala,2/5/2020 10:45,15,6,0
772,2/5/2020,Thrissur,Kerala,2/5/2020 10:45,11,8,0
773,2/5/2020,Kollam,Kerala,2/5/2020 10:45,8,4,0
774,2/5/2020,Malappuram,Kerala,2/5/2020 10:45,19,8,0
775,7/5/2020,Alappuzha,Kerala,7/5/2020 10:45,4,4,0
776,7/5/2020,Cannanore(Kannur),Kerala,7/5/2020 10:45,88,50,1
777,6/5/2020,Ernakulam,Kerala,6/5/2020 10:45,21,11,0
778,5/5/2020,Idukki,Kerala,5/5/2020 10:45,9,5,0
779,7/5/2020,Kasaragode,Kerala,7/5/2020 10:45,167,79,2
780,5/5/2020,Kottayam,Kerala,5/5/2020 10:45,3,0,0
781,7/5/2020,Kozhicode,Kerala,7/5/2020 10:45,18,9,0
782,6/5/2020,Palakkad,Kerala,6/5/20202 10:45,6,1,0
783,6/5/2020,Pathanamthitta,Kerala,6/5/2020 10:45,16,5,0
784,3/5/2020,Wyanad,Kerala,3/5/2020 10:45,3,1,0
785,5/5/2020,Thiruvananthapuram,Kerala,5/5/2020 10:45,13,10,0
786,3/5/2020,Mallapuram,Kerala,3/5/2020 10:45,15,6,0
787,3/5/2020,Thrissur,Kerala,3/5/2020 10:45,11,9,0
788,3/5/2020,Kollam,Kerala,3/5/2020 10:45,9,4,0
789,3/5/2020,Malappuram,Kerala,3/5/2020 10:45,19,9,0
790,8/5/2020,Alappuzha,Kerala,8/5/2020 10:45,4,5,0
791,8/5/2020,Cannanore(Kannur),Kerala,8/5/2020 10:45,90,50,1
792,7/5/2020,Ernakulam,Kerala,7/5/2020 10:45,23,11,0
793,6/5/2020,Idukki,Kerala,6/5/2020 10:45,10,5,0
794,8/5/2020,Kasaragode,Kerala,8/5/2020 10:45,170,85,2
795,6/5/2020,Kottayam,Kerala,6/5/2020 10:45,3,0,0
796,8/5/2020,Kozhicode,Kerala,8/5/2020 10:45,18,9,0
797,7/5/2020,Palakkad,Kerala,7/5/2020 10:45,8,1,0
798,7/5/2020,Pathanamthitta,Kerala,7/5/2020 10:45,16,5,0
799,4/5/2020,Wyanad,Kerala,4/5/2020 10:45,3,1,0
800,6/5/2020,Thiruvananthapuram,Kerala,6/5/2020 10:45,14,10,0
801,4/5/2020,Mallapuram,Kerala,4/5/2020 10:45,17,7,0
802,4/5/2020,Thrissur,Kerala,4/5/2020 10:45,13,9,0
803,4/5/2020,Kollam,Kerala,4/5/2020 10:45,9,4,0
804,4/5/2020,Malappuram,Kerala,4/5/2020 10:45,19,9,0
805,9/5/2020,Alappuzha,Kerala,9/5/2020 10:45,5,6,0
806,9/5/2020,Cannanore(Kannur),Kerala,9/5/2020 10:45,92,50,1
807,8/5/2020,Ernakulam,Kerala,8/5/2020 10:45,23,11,0
808,7/5/2020,Idukki,Kerala,7/5/2020 10:45,10,5,0
809,9/5/2020,Kasaragode,Kerala,9/5/2020 10:45,170,95,3
810,7/5/2020,Kottayam,Kerala,7/5/2020 10:45,3,0,0
811,9/5/2020,Kozhicode,Kerala,9/5/2020 10:45,18,10,0
812,8/5/2020,Palakkad,Kerala,8/5/2020 10:45,8,2,0
813,8/5/2020,Pathanamthitta,Kerala,8/5/2020 10:45,17,6,0
814,5/5/2020,Wyanad,Kerala,5/5/2020 10:45,3,1,0
815,7/5/2020,Thiruvananthapuram,Kerala,7/5/2020 10:45,14,12,0
816,5/5/2020,Mallapuram,Kerala,5/5/2020 10:45,17,7,0
817,5/5/2020,Thrissur,Kerala,5/5/2020 10:45,13,10,0
818,5/5/2020,Kollam,Kerala,5/5/2020 10:45,9,5,0
819,5/5/2020,Malappuram,Kerala,5/5/2020 10:45,20,10,0
820,10/5/2020,Alappuzha,Kerala,10/5/2020 10:45,5,6,0
821,10/5/2020,Cannanore(Kannur),Kerala,10/5/2020 10:45,92,50,1
822,9/5/2020,Ernakulam,Kerala,9/5/2020 10:45,24,11,0
823,8/5/2020,Idukki,Kerala,8/5/2020 10:45,10,5,0
824,10/5/2020,Kasaragode,Kerala,10/5/2020 10:45,170,110,3
825,8/5/2020,Kottayam,Kerala,8/5/2020 10:45,3,0,0
826,10/5/2020,Kozhicode,Kerala,10/5/2020 10:45,20,10,0
827,9/5/2020,Palakkad,Kerala,9/5/2020 10:45,8,2,0
828,9/5/2020,Pathanamthitta,Kerala,9/5/2020 10:45,17,6,0
829,6/5/2020,Wyanad,Kerala,6/5/2020 10:45,3,1,0
830,8/5/2020,Thiruvananthapuram,Kerala,8/5/2020 10:45,14,12,0
831,6/5/2020,Mallapuram,Kerala,6/5/2020 10:45,17,7,0
832,6/5/2020,Thrissur,Kerala,6/5/2020 10:45,13,10,0
833,6/5/2020,Kollam,Kerala,6/5/2020 10:45,9,5,0
834,6/5/2020,Malappuram,Kerala,6/5/2020 10:45,20,10,0
835,24/4/2020,Ariyalur,Tamil Nadu,24/4/2020 10:45,0,0,0
836,24/4/2020,Chengalpattu,Tamil Nadu,24/4/2020 10:45,0,0,0
837,23/4/2020,Cuddalore,Tamil Nadu,23/4/2020 10:45,0,0,0
838,22/4/2020,Dindigul,Tamil Nadu,22/4/2020 10:45,0,0,0
839,24/4/2020,Chennai,Tamil Nadu,24/4/2020 10:45,2,0,0
840,22/4/2020,Coimbatore,Tamil Nadu,22/4/2020 10:45,0,0,0
841,24/4/2020,Dindugal,Tamil Nadu,24/4/2020 10:45,0,0,0
842,23/4/2020,Erode,Tamil Nadu,23/4/2020 10:45,0,0,0
843,23/4/2020,Kancheepuram,Tamil Nadu,23/4/2020 10:45,0,0,0
844,20/4/2020,Kalllakurichi,Tamil Nadu,23/4/2020 10:45,0,0,0
845,22/4/2020,Kanyakumari,Tamil Nadu,22/4/2020 10:45,0,0,0
846,20/4/2020,Karur,Tamil Nadu,20/4/2020 10:45,0,0,0
847,20/4/2020,Madurai,Tamil Nadu,20/4/2020 10:46,0,0,0
848,20/4/2020,Nagapattinam,Tamil Nadu,20/4/2020 10:47,0,0,0
849,20/4/2020,Nagerkoil,Tamil Nadu,20/4/2020 10:48,0,0,0
850,20/4/2020,Namakkal,Tamil Nadu,20/4/2020 10:49,0,0,0
851,20/4/2020,Perambalur,Tamil Nadu,20/4/2020 10:50,0,0,0
852,23/4/2020,Pudukottai,Tamil Nadu,23/4/2020 10:45,0,0,0
853,23/4/2020,Ramanathapuram,Tamil Nadu,23/4/2020 10:45,0,0,0
854,23/4/2020,Sivagangai,Tamil Nadu,23/4/2020 10:45,0,0,0
855,23/4/2020,Ranipet,Tamil Nadu,23/4/2020 10:45,0,0,0
856,16/4/2020,Salem,Tamil Nadu,16/4/2020 10:45,0,0,0
857,16/4/2020,Thanjavur,Tamil Nadu,16/4/2020 10:45,0,0,0
858,16/4/2020,Tenkasi,Tamil Nadu,16/4/2020 10:45,0,0,0
859,16/4/2020,Theni,Tamil Nadu,16/4/2020 10:45,0,0,0
860,14/4/2020,Tiruvannamalai,Tamil Nadu,14/4/2020 10:45,0,0,0
861,14/4/2020,Thiruvallur,Tamil Nadu,14/4/2020 10:45,0,0,0
862,14/4/2020,Thiruvarur,Tamil Nadu,14/4/2020 10:45,0,0,0
863,13/4/2020,Thoothukudi,Tamil Nadu,13/4/2020 10:45,0,0,0
864,13/4/2020,Tirunelveli,Tamil Nadu,13/4/2020 10:45,0,0,0
865,13/4/2020,Tirupattur,Tamil Nadu,13/4/2020 10:45,0,0,0
866,13/4/2020,Tiruppur,Tamil Nadu,13/4/2020 10:45,1,0,0
867,13/4/2020,Tiruchirapalli,Tamil Nadu,13/4/2020 10:45,0,0,0
868,29/3/2020,Vellore,Tamil Nadu,29/3/2020 10:45,0,0,0
869,28/3/2020,Villupuram,Tamil Nadu,28/3/2020 10:45,0,0,0
870,23/3/2020,Virudhunagar,Tamil Nadu,23/3/2020 10:45,0,0,0
871,18/3/2020,Udagamandalam,Tamil Nadu,18/3/2020 10:45,0,0,0
872,25/4/2020,Ariyalur,Tamil Nadu,25/4/2020 10:45,0,1,0
873,25/4/2020,Chengalpattu,Tamil Nadu,25/4/2020 10:45,0,0,0
